gene_id,bits,source,family_id,split_role,generator_parameters,seed,parent_old_index,parameter_regime,selection_method,selection_rank,selection_distance_squared,display_region_id,experiment_groups,magnet_cells,raw_bits,raw_gene_id,repair_changed_cells,repair_passes
de57d75451a4eada1687f322d91ba16127bbd0400b1182cb384367f85f3c04b3,111111111111111100110000100000100000100000100000100000100000000000000000100000100000110000111111111111111111111111111111,B,B/pool/field_00658/attempt_0/params_124c425d826c0d19,train,"{""attempt"": 0, ""m"": 58, ""scale"": [4, 4]}",13349480423077743689,,same_range,G,1,0.0026191420450789875,2,G-S;G-E,58,111111111111111100110000100000100000100000100000100000100000000000000000100000100000110000111111111111111111111111111111,de57d75451a4eada1687f322d91ba16127bbd0400b1182cb384367f85f3c04b3,0,0
1d265cdff9513d9a3a82c0129728c6c169a2ac9a7f7a66250ce6abc437444afd,000101000010011000000110110000010000001000000000000000100110101010000010000100001000000000000000000000000000000000000000,U,U/pool/field_01682/attempt_0/params_66972120c4da6628,train,"{""attempt"": 0, ""m"": 26}",13349480423077743689,,same_range,G,2,0.0027843875999735606,2,G-S;G-E,20,100101000010011000000110110000010000001000000000000000100110101010000010100100001000000010001000000000000100000000010000,368269ff8ab4fe7ed5d80b5bb8f4630b66becf980cd6495717d615e2967bcd35,6,1
8e3421e5ed6b7753da06a51d9c004c4f3d2c59429228aa4e323fdedb6a913e98,001000110011100110100100001011001010000000001001110101010110000010001100010100011000110000110001110010100110010010010010,U,U/pool/field_04435/attempt_0/params_9d061dd6086ef63c,train,"{""attempt"": 0, ""m"": 47}",13349480423077743689,,same_range,G,3,0.002685240267036817,2,G-S;G-E,46,001000110011100110100100001011101010000000001001110101010110000010001100010100011000110000110001110010100110010010010010,ce5169a741fc2833fa087b66c1ac471ca69ce796f73e183cf2323eb556ca2223,1,1
c07581ac51259af125d23f27490fa1772e9b828866ed54fe2b1c5bcc32e12f9c,000001000010000010000010001011001101000101101001100000000000000100110010010010010100010010010100001101101010101010000001,U,U/pool/field_04073/attempt_0/params_8a71703679c9ad40,train,"{""attempt"": 0, ""m"": 41}",13349480423077743689,,same_range,G,4,0.0026687157115473596,2,G-S;G-E,38,000001100010000010100010001011001101000101101001100000000001000100110010010010010100010010010100001101101010101010000001,9a0dd375370b468b486adaeaed76f67039505bdbb24e93ad5033f232e95bff85,3,1
ec9e7ecc7d4e8b2e65b63000e46162f04cd9e63babba4461712e6b0da080148d,110000110101101010010001000000110101000101010110100011010010010000000110011101100101000011001000110100100000110000000000,U,U/pool/field_02641/attempt_0/params_1d6dc034b59607a9,train,"{""attempt"": 0, ""m"": 46}",13349480423077743689,,same_range,G,5,0.0026687157115473596,2,G-S;G-E,44,110000110101101010010001000000110101000101010110100011010010010000000110011101100101000011001000110100100000110100000001,7443b3c26195971cebab587af330b1298f6430d5b011127283d239188cdb3f6f,2,1
f5071856369d5eba09c3ebe05e816035ce8016bdc00776fb0831532f57d0192d,011011010000001111111010111001110101001000010000011100001000100000011011011000100100000101000110100011101000010100100000,U,U/pool/field_00372/attempt_0/params_bb65b3c23ba9afda,train,"{""attempt"": 0, ""m"": 50}",13349480423077743689,,same_range,G,6,0.002635666600568445,2,G-S;G-E,48,011011010000001111111010111001110101001000010000011100001001100000011011011000100100000101000110100011101000010101100000,ce21ef03a6022dbe37c230fc30a5b9c36fe38740bd14f3e9da250e711320effc,2,1
1ec51b98f83bbac512e905d6c2882cba05a04a1a763e4bd3b0b185d0c6e0c3eb,010001100001000000010001100111101000001011000000001000001001010101010000001110101001010000101010100011001111000001000000,U,U/pool/field_02828/attempt_0/params_24768e62d6866064,train,"{""attempt"": 0, ""m"": 43}",13349480423077743689,,same_range,G,7,0.0026191420450789875,2,G-S;G-E,40,010001100101000000010001100111101000001011000000101000001001010101010000001110101001010000101010100011001111000001001000,cd31025e103d67eaed83b9688c00aaf7cbf61f1dc215fa4e624c0ee805d8744e,3,1
5731503c74acef7f7ead4a784126ecd7ec1ac49a2ba36fd569753bfbfb7280dd,100000100010110111000011000011001110100001100110100011111101001101000100001011000011111111001001000001000011000000000000,L,L/pool/field_01868/attempt_0/params_6fc35c9df212700e,train,"{""attempt"": 0, ""m"": 50, ""scale"": [0.5, 0.5]}",13349480423077743689,,same_range,G,8,0.0026191420450789875,2,G-S;G-E,48,101000100010110111000011000011001110100001100110100011111101001101000100001011000011111111001001000001000011000000010000,3e2e425517235d2071ffb865b89105c4e4eae9ce0a178137321d2b01af8a7e6f,2,1
654f5c8b478fb1a049d57843e140f566138078b4fc763311a0874ef80cb3b23c,100010111010000110000000010110010000101101011011000100010110010100101101000001000001010000100000110000111000100010101101,U,U/pool/field_01189/attempt_0/params_9d061dd6086ef63c,train,"{""attempt"": 0, ""m"": 47}",13349480423077743689,,same_range,G,9,0.0026191420450789875,2,G-S;G-E,45,100010111010000110000000010110010000101101011011000100010110010100101101000001000001010000100100110001111000100010101101,12d6775e86f616bc36d352737db62301230819825f6181c3a7cfdde8243a83db,2,1
cf07eaad4672a3a124a9fde09244a532968190753470f7a2ce81bce8515c31ae,001011001011001001000001001110100100100100001000010100110010001101001000000100110001010101100110010100001000010001000111,U,U/pool/field_02136/attempt_0/params_1d6dc034b59607a9,train,"{""attempt"": 0, ""m"": 46}",13349480423077743689,,same_range,G,10,0.0026191420450789875,2,G-S;G-E,44,001011001011101001000001001110100100100101001000010100110010001101001000000100110001010101100110010100001000010001000111,3ee4a6e6024e6b05fdaf4dfa31fe78094c7755b1157b3cc544ad8400dc6dd759,2,1
d188dca717a32de2d67df3da93b34e2c73120543c07878da1c12994fcf3ecdf0,011010001001010010001000010000011100001000001011000101110000001011000000000001010110001100001000110001100101111011111111,U,U/pool/field_02533/attempt_0/params_99c713f9f3942759,train,"{""attempt"": 0, ""m"": 48}",13349480423077743689,,same_range,G,11,0.0026191420450789875,5,G-S;G-E,47,011010001001010010001000010000011101001000101011000101110000001011000000000001010110001100001000110001100101111011011111,686ff25443970f9b13445bf6447607272cc1af4eb2f1e9dba86301aff9bb3d63,3,1
