gene_id,split_role,source,experiment_groups,magnet_cells,magnet_area_sector_mm2,magnet_area_full_motor_mm2,condition_fingerprint,status,successful_angles,tavg_nm,delta_t_nm,elapsed_seconds_successful_attempts,errors
002d82f2d06fe62881bda74abbb777d013d54b9210cb90cf8f2ff526b513a1b9,train,L,G-S;G-E,44,42.0014018887877,168.0056075551508,aa3c2c6658200077df5408693aba82dd4ecbb1ce0de9916ea46aa6eef61fc671,incomplete,0,,,0,angle 29.0: pending; angle 32.0: pending; angle 35.0: pending; angle 38.0: pending; angle 41.0: pending; angle 44.0: pending
003eb433f97172cfc439d879cf7bc3fbeaadb1b15bc2a4f41564ddc4b881af8f,train,P,F-S;F-E,100,95.10945878735689,380.43783514942754,aa3c2c6658200077df5408693aba82dd4ecbb1ce0de9916ea46aa6eef61fc671,incomplete,0,,,0,angle 29.0: pending; angle 32.0: pending; angle 35.0: pending; angle 38.0: pending; angle 41.0: pending; angle 44.0: pending
00649cc162bd198cd939bacf9e2a259f2ee39249947cd13d87cd29a2524c5d7a,train,P,G-S;G-E;F-S;F-E,63,59.856137120092356,239.42454848036942,aa3c2c6658200077df5408693aba82dd4ecbb1ce0de9916ea46aa6eef61fc671,incomplete,0,,,0,angle 29.0: pending; angle 32.0: pending; angle 35.0: pending; angle 38.0: pending; angle 41.0: pending; angle 44.0: pending
00777d0214d2e180e17a404931bac23f5d837ca0b0fd211c5348922110ef5a7a,train,L,G-S;G-E,63,59.77497185401676,239.09988741606705,aa3c2c6658200077df5408693aba82dd4ecbb1ce0de9916ea46aa6eef61fc671,incomplete,0,,,0,angle 29.0: not prepared; angle 32.0: not prepared; angle 35.0: not prepared; angle 38.0: not prepared; angle 41.0: not prepared; angle 44.0: not prepared
009b09d6c022a83f5058364b11942e52d66a0656c1844f8c43ba02823e74271a,train,U,G-S;G-E,24,22.878865201382638,91.51546080553055,aa3c2c6658200077df5408693aba82dd4ecbb1ce0de9916ea46aa6eef61fc671,incomplete,0,,,0,angle 29.0: pending; angle 32.0: pending; angle 35.0: pending; angle 38.0: pending; angle 41.0: pending; angle 44.0: pending
009ddc00d5a6dd35a3d95dfe4437fe767088660b67a65015729d776f58e1d16e,train,P,G-S;G-E,75,70.91409297022847,283.65637188091387,aa3c2c6658200077df5408693aba82dd4ecbb1ce0de9916ea46aa6eef61fc671,incomplete,0,,,0,angle 29.0: pending; angle 32.0: pending; angle 35.0: pending; angle 38.0: pending; angle 41.0: pending; angle 44.0: pending
00a8e06a2172351ed663fa1588c954233535c9ddb780fe7297dc1fd62b93f5f5,train,B,F-S;F-E,61,57.807525804344905,231.23010321737962,aa3c2c6658200077df5408693aba82dd4ecbb1ce0de9916ea46aa6eef61fc671,incomplete,0,,,0,angle 29.0: pending; angle 32.0: pending; angle 35.0: pending; angle 38.0: pending; angle 41.0: pending; angle 44.0: pending
00b8e07f32dd248bbc18c9b9b9ff54b1cf1b7caae308528f740520944442866a,train,P,F-S;F-E,67,63.15794014404672,252.63176057618688,aa3c2c6658200077df5408693aba82dd4ecbb1ce0de9916ea46aa6eef61fc671,incomplete,0,,,0,angle 29.0: not prepared; angle 32.0: not prepared; angle 35.0: not prepared; angle 38.0: not prepared; angle 41.0: not prepared; angle 44.0: not prepared
00eafa2104c0fafc951c73617a6583a03dc27573eab14b2c4f910d73005dcb39,test,P,G-S;F-S;G-E;F-E,76,72.53902159706149,290.15608638824597,aa3c2c6658200077df5408693aba82dd4ecbb1ce0de9916ea46aa6eef61fc671,incomplete,0,,,0,angle 29.0: not prepared; angle 32.0: not prepared; angle 35.0: not prepared; angle 38.0: not prepared; angle 41.0: not prepared; angle 44.0: not prepared
00f6b6761d783b29432627304731709bbe1e724ae23c69b1f19866f5abfc3192,train,L,F-S;F-E,88,83.93787156471497,335.75148625885987,aa3c2c6658200077df5408693aba82dd4ecbb1ce0de9916ea46aa6eef61fc671,incomplete,0,,,0,angle 29.0: pending; angle 32.0: pending; angle 35.0: pending; angle 38.0: pending; angle 41.0: pending; angle 44.0: pending
