gene_id,bits,source,family_id,split_role,generator_parameters,seed,parent_old_index,parameter_regime,selection_method,selection_rank,selection_distance_squared,display_region_id,experiment_groups,magnet_cells,raw_bits,raw_gene_id,repair_changed_cells,repair_passes,nearest_old_train_hamming,magnet_area_sector_mm2,magnet_area_full_motor_mm2,status
009b09d6c022a83f5058364b11942e52d66a0656c1844f8c43ba02823e74271a,000000000000000000000001000001000001001100000010000000010000110000000101001110100000010001100001000001110000000000011000,U,U/pool/field_01847/attempt_0/params_4c5c33528a33561c,train,"{""attempt"": 0, ""m"": 29}",13349480423077743689,,same_range,G,389,0.0019746843809901513,2,G-S;G-E,24,001000000000000000000001100001000001001100100010000000010001110000000101001110100000010001100001000001110000000001011000,7e285e161818f515173db878856983ce24c57beca5028919352017d249a1dec6,5,1,43,22.878865201382638,91.51546080553055,pending
02217d86f27a2c1c657654dca880b5df448d1408f28802b92240e64d6db3bee2,111101111011111001111111111001111111111111111111111111111111111111001111111111111111111111111111111111100011111111111111,U,U/pool/field_01394/attempt_0/params_4d274723792a61d3,train,"{""attempt"": 0, ""m"": 105}",13349480423077743689,,same_range,F,76,0.19489629330917818,6,F-S;F-E,109,011101111011111001101111111001111111111101111111111111111111111111001111111111111111111111111111111111100011111111101111,87d3d8b258f547cdd5ab97c71945b3cc0b03a5d2195f16c26073137d176f2dcf,4,1,24,103.67888757961595,414.7155503184638,pending
0292dd1fb30feeefb2d4a84a6d3900a72cbcc4e43433cd3247e50cd85608d0a2,101111110110101001011011111111011011101011111111101011011011111001001110101111101101001010011111101101101101111111111111,U,U/pool/field_04736/attempt_0/params_a7aa7c2a323af75e,train,"{""attempt"": 0, ""m"": 86}",13349480423077743689,,same_range,G;F,G:495;F:300,see train_G.csv and train_F.csv,G:8;F:9,G-S;G-E;F-S;F-E,87,101111110110101001011011111111011011101011111111101011011011111001001110101111101101001010011111101101101101111111111110,4ad201f5f7ea6c629d208926b04f9fe0a456d735024403cf1a7723afa4302c84,1,1,32,82.94603201327152,331.7841280530861,pending
002d82f2d06fe62881bda74abbb777d013d54b9210cb90cf8f2ff526b513a1b9,001000001000100000100001110001111101000110000110000110010010010011010011011111011101010101010110100010000000000000000000,L,L/pool/field_04545/attempt_0/params_9579b6cd91d12843,train,"{""attempt"": 0, ""m"": 45, ""scale"": [0.5, 2]}",13349480423077743689,,same_range,G,866,0.0021234053803952675,2,G-S;G-E,44,001000001000100000100001110001111101000110000110000110010010010011010011011111011101010101010110100010000000000000000100,76198515a837da42791d30156556ab33539b247b68e5271db6527ebb6369ea87,1,1,34,42.0014018887877,168.0056075551508,pending
00f6b6761d783b29432627304731709bbe1e724ae23c69b1f19866f5abfc3192,111111100111000100000001000001000000000001000011111111111111111111111111111111111111111111111111111111111111111111111111,L,L/pool/field_03795/attempt_0/params_e174ec5e6b5c055c,train,"{""attempt"": 0, ""m"": 88, ""scale"": [1.5, 2]}",13349480423077743689,,same_range,F,152,0.09520391331602202,6,F-S;F-E,88,111111100111000100000001000001000000000001000011111111111111111111111111111111111111111111111111111111111111111111111111,00f6b6761d783b29432627304731709bbe1e724ae23c69b1f19866f5abfc3192,0,0,22,83.93787156471497,335.75148625885987,pending
05389c43608d9c9aa9c06f61fec2fc929402bc9b0f2de7d9f81adcdb8f106d27,100011100011010011010111010110010100110100100110100110101110101010101000111000111000111000111000111000111001111111111111,L,L/pool/field_04017/attempt_0/params_9c3ecb8c2357da6f,train,"{""attempt"": 0, ""m"": 66, ""scale"": [0.5, 2]}",13349480423077743689,,same_range,G;F,G:1003;F:991,see train_G.csv and train_F.csv,G:7;F:8,G-S;G-E;F-S;F-E,67,100011100011010011010111010110010100110100100110100110101110101010101000111000111000111000111000111000111001111111111011,3ee8eb4d9f9f3954cd1ae2d2d8af0a505580ff118872b7cafbdc4ea897df8e5d,1,1,38,63.304037622982705,253.21615049193082,pending
0622f5d8fc14c9ce45217e1b2de990a32cbdda24eb536d556d5897cd35c972e4,110000110000111000111111111111111111111111111111111101110000110000110000111001111111111111111111111111111111111111111111,B,B/pool/field_03174/attempt_0/params_e47a407aa8c41c0d,train,"{""attempt"": 0, ""m"": 94, ""scale"": [4, 4]}",13349480423077743689,,same_range,G,1282,0.0015780950492431754,10,G-S;G-E,94,110000110000111000111111111111111111111111111111111101110000110000110000111001111111111111111111111111111111111111111111,0622f5d8fc14c9ce45217e1b2de990a32cbdda24eb536d556d5897cd35c972e4,0,0,28,88.96362484011449,355.85449936045796,pending
00a8e06a2172351ed663fa1588c954233535c9ddb780fe7297dc1fd62b93f5f5,111111111111111111111111111111111111111111111111111111111000110000100000100000000000000000000000000000000000000000000000,B,B/pool/field_00036/attempt_0/params_5022a49c23f5b9b7,train,"{""attempt"": 0, ""m"": 60, ""scale"": [2, 4]}",13349480423077743689,,same_range,F,154,0.12437078961797687,7,F-S;F-E,61,111111111111111111111111111111011111111111111111111111111000110000100000100000000000000000000000000000000000000000000000,d1c540763857ef2ee3b2f264ac70d6894ec17341edad9785a4985eda3f4ccc76,1,1,38,57.807525804344905,231.23010321737962,pending
021ca5e3111a6981857af3cfcaf1667d877b09ec8f0b85e9cccde32a704eb6b9,000000100000100100111111111111111111111111111111111111111101111000111000111000111000111000111000111000111000111000111000,B,B/pool/field_01240/attempt_0/params_da8b7d0a67e27328,train,"{""attempt"": 0, ""m"": 74, ""scale"": [2, 4]}",13349480423077743689,,same_range,G;F,G:988;F:754,see train_G.csv and train_F.csv,G:2;F:9,G-S;G-E;F-S;F-E,74,000000100000100100111111111111111111111111111111111111111101111000111000111000111000111000111000111000111000111000111000,021ca5e3111a6981857af3cfcaf1667d877b09ec8f0b85e9cccde32a704eb6b9,0,0,34,69.56512624805245,278.2605049922098,pending
009ddc00d5a6dd35a3d95dfe4437fe767088660b67a65015729d776f58e1d16e,110000111011111101101110010111110111100011111111111111011110001010111000110000111000101000101100111001111011110000111011,P,P/parent/58988/pool,train,"{""attempt"": 0, ""rectangles_r_a_h_w"": [[2, 0, 3, 5], [3, 10, 3, 5]]}",13349480423077743689,58988,same_range,G,1002,0.0020242580474585234,1,G-S;G-E,75,110000111011111101101110010111110111100011111111111111011110001010111000110000111001101000101100111001011011110000011011,a6793ec93602bb70234b412b4b4b4427993630df87a9ba6c56765e9c048a3cda,3,1,31,70.91409297022847,283.65637188091387,pending
003eb433f97172cfc439d879cf7bc3fbeaadb1b15bc2a4f41564ddc4b881af8f,111111010101000011110111111110110010111011011111101111110111111111111111111111111111111111111101111110111111111101111011,P,P/parent/62946/pool,train,"{""attempt"": 0, ""rectangles_r_a_h_w"": [[5, 4, 1, 2], [2, 17, 1, 2]]}",13349480423077743689,62946,same_range,F,914,0.018266669136942512,6,F-S;F-E,100,111111010101000011110111111110010010111011011111101101110111111111111111111101111111111111011101111110111111101101111011,91fe16e09d6ff5dd9885d9620afebbddea7e6cdfd6e76afe83cb8ac4d8011bb5,5,1,9,95.10945878735689,380.43783514942754,pending
00649cc162bd198cd939bacf9e2a259f2ee39249947cd13d87cd29a2524c5d7a,100110100010110101011110011111111010111000110010111001110000100001100011100001110000100011110011100111011111000011000011,P,P/parent/28727/pool,train,"{""attempt"": 0, ""rectangles_r_a_h_w"": [[2, 11, 3, 5], [3, 6, 3, 5]]}",13349480423077743689,28727,same_range,G;F,G:824;F:685,see train_G.csv and train_F.csv,G:10;F:7,G-S;G-E;F-S;F-E,63,100110100010110101011110011111111010111000110010011001110000100001101011100001110000100011110011100111011111000011010010,6aaf3616defc59180eac7e69c971caccb2b3644a0547a8bd92321ea0db685cd3,4,1,31,59.856137120092356,239.42454848036942,pending
07a5ca21cbd87b7d3229d2e9fe6547315e9082bfd402a50f67666a3e6ab7fd2f,000000000000000000000000000000000010000001000000000000000000000000000000000000000000000000000000000000000000000000000000,U,U/test/field_00051/attempt_1/params_d21f44229fe29a4d,test,"{""attempt"": 1, ""m"": 6}",3862549395330453298,,parameter_holdout,,,,,G-S;F-S;G-E;F-E,2,000000000000000100000000000000000010001001000000000000000000000000000000000000000000000000000000000000000000000000001010,a2ab21171fea5e1ea2daab7e155f9c03083c076d57dc5197fdeaf22b0bc32d98,4,1,44,1.9674460496718906,7.8697841986875625,pending
b31089763d9003ea03c8955b45acbf4d41d7316c1c0cfdd6847e05b5901cad73,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,U,U/test/field_00053/attempt_0/params_68b8d1b0456e4fc4,test,"{""attempt"": 0, ""m"": 117}",3862549395330453298,,parameter_holdout,,,,,G-S;F-S;G-E;F-E,120,101111111111111111111110111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111,17ddf7629b34f321d09015f2ab84129fb17f102de63da5d73aa2f923d6cc679b,3,1,19,114.15083020868641,456.60332083474566,pending
17fd29449612c47215d290731dd117b1a69b320be0e4ca048b6866d459fa5865,000000000000000000000000000000000000000000010000011000000000000000000000000000000000000000000000001100000000000000000000,L,L/pool/field_03028/attempt_0/params_7c29f302098aab9a,train,"{""attempt"": 0, ""m"": 12, ""scale"": [0.5, 0.5]}",13349480423077743689,,same_range,F,2,3.341269317565591,5,F-S;F-E,5,000000100000000000010001000000000000000000010000011000000010000000000000000100000001000000000000001100000000000000000010,0d45a88a23553c67a98e944ff064379936a13cf3ecfe492a5a67b0bacfa89f96,7,1,42,4.699468905775687,18.797875623102748,pending
