gene_id,source,old_index
692fe8ec6b74199874e058be9364070c365b41ee00665b0ff2235855db357688,old_train,0
0aa540675054d478867cc33ae8bf57f02c0765e9f51761fd61ce616772b8db9d,old_train,1
37f0428b47f4058d300c0dbb3323fa9fddd78a0c26b7fc963cbf3e9012d4f7a3,old_train,3
6aad765c0e31199f704cbf3442e6c32c846b0cf0ebf69db364ddcdc2b806989d,old_train,4
c72c42f0da180923bd3670e840f9433fd393d2894fae785c96fbbfcdcea0c050,old_train,6
3dda7de4dd375ef3978461418aa98eccb0ec085bbbdca4073604a0c1ded06ff8,old_train,7
0c23b972004c80dbd57e2b52dc3e9b5f4bda5baa78ff80197a10b044d7cfe34e,old_train,9
3da912fae2d8246438a4a3c992f57a369773adefe10923ceb10fa3a96c6d18bb,old_train,11
b045942a2d02ec90b2abc4f680d00430f74b0093763ac8023dcbedd5509dac9e,old_train,13
41007c40b59e8c352ef961e18df5702914115c6f5e1b93b4f9d662b183b8a1e9,old_train,14
d06376635f22fc91dd5e6831b632b60a6c60f077783404f3362249f337766d9b,old_train,15
6ba42bd8a555bd715328b3d50c97d9f1c5ffe5b86160207a609db45cf5d4af4c,old_train,16
d15fffb4553cc4b0bdd916434b53a3243d808b4a83ec6f56ca1cdc44fe9a30c6,old_train,17
ce605c10eb7969b8bc64bdf75f3e8f487791af32d0599cf86ba1f0f249734838,old_train,19
b5753bf52dc887a2e3ea610860ee354db03918ec27f3d8e9aa7f8e8a66b91b4c,old_train,20
723f9c3b2ed06e47e4cc39216aa7a41220bd2d530262883f5acbe3e60feb1262,old_train,23
de958e1292bee216e092040814443f20eebcbc85c4309d2dc2526af50a51422d,old_train,24
dc13e3220ad7eb1e650c68cdf9d9ac35a4517393184fdadae5d67b4df8abb12b,old_train,25
51a013bd228a8cadd808e72ab368a79c6306106f501ddd28b286960153dd63bc,old_train,27
329c9ee3e7a77c8606016b0bdfe22eafc09ff6b1264774b0fe9fa4c07c85d82e,old_train,28
b3f8ebc3880db6ef9c50e8d31adee037c1d6cd6d9b213f745320a07dfe878838,old_train,29
eb578d08bbe3829f51ac526fef116da08094d2fbd9b522dcfccf80335f64f7e5,old_train,34
f9af5ffbb88384c0fbe2a594042a2da64fa99a8f74cb8e9e2346e020f70367f1,old_train,37
5bb38f994c96dc00237954de5cf663431ae42025848ab813eb01c4d0c45e880a,old_train,39
9e3f50affe7601a0ce2536f24d1ab9d74b0ea89de5993b5708b509a67cc1115c,old_train,42
109fac908458f60bc4a4658a28b6b913fcc5d8feb1885ee0aa987032b01971f8,old_train,44
5f6e90cac87de6534e323548679fe5519a579daef00e9dd8a11ff8ebba2c2125,old_train,46
e0f81d4679044328cc3f8b43cc7c4dfa536a6774101442e1fd978682c301ee7f,old_train,47
4b9cadd19189d54bfc9e83935826a6f40db73f5d39af646cf4405ca5ee84d817,old_train,48
57d2c628c27b3e06a1459b37e281312a4554055df594b5178a26d96f6f8573d7,old_train,49
c31f2bfe8cab6b1ece24b9002cf18a524d111ab9fe7bcddf7201ce0b5c697b29,old_train,50
c2e6d8dc04c3e398b6ddd4ed44b423276c45aaf02ab87944c4a529f4d9b93e61,old_train,51
02ceda0b4393b23b55a439aad5c32a1cde4d241f929a10b224b26cd2fd6b9aa3,old_train,53
9bce88453d1a70c8a2ef7287d55a9770145a350cf595aa5d2f943bab6541225c,old_train,54
54a2b78fc16f8cb1b6b5ad65d0f142fabae83a68983c415d3f0252dfcc5cfd1a,old_train,55
76a0a2adfe4cd4c7c49bb9914303280c636b5204598e9f41f5a883e8a0e4789e,old_train,56
00398517b8ac4509f04d767d70a1cc3a8a3d9f1b3b555715ff8e7107ea11d986,old_train,58
62567438d0114866d4997083de68daa3cd41be4bcce20f250c0ed19648ded7f8,old_train,59
bb7abe9513f98c1fbd70dfedc88aab41b69bac6645b18e0fb25be39eb3f2446b,old_train,61
baa865323ca6226980001f3c3e994a6ef23a22b3e483aec87e35fd2287213f3a,old_train,63
61c2ddfb09e7a23ed925b2cb48a916c70e5c3457c2f92b63deebd568deb5b280,old_train,64
aef7ca1de52b11f425d5ed376ceccd3ec8cb351c346ee616df84b4ff5711df49,old_train,65
fea7f6bfb8a0d05597373954ea5ab6492ddf58e441fa7d4c95f266f1d7e31bb9,old_train,66
